categoria_grupo,categoria_subgrupo,categoria_item,categoria_subitem
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Iogurte e bebidas lácteas
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Leite com sabor
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Leite condensado
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Leite em pó
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Leite fermentado
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Leite longa vida
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Leite pasteurizado
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Manteiga
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Queijo
Alimentação e bebidas,Alimentação no domicílio,Leites e derivados,Requeijão
Alimentação e bebidas,Alimentação no domicílio,Óleos e gorduras,Azeite de oliva
Alimentação e bebidas,Alimentação no domicílio,Óleos e gorduras,Margarina
Alimentação e bebidas,Alimentação no domicílio,Óleos e gorduras,Margarina vegetal
Alimentação e bebidas,Alimentação no domicílio,Óleos e gorduras,Óleo de soja
Alimentação e bebidas,Alimentação no domicílio,Panificados,Biscoito
Alimentação e bebidas,Alimentação no domicílio,Panificados,Bolo
Alimentação e bebidas,Alimentação no domicílio,Panificados,Pão de forma
Alimentação e bebidas,Alimentação no domicílio,Panificados,Pão de queijo
Alimentação e bebidas,Alimentação no domicílio,Panificados,Pão doce
Alimentação e bebidas,Alimentação no domicílio,Panificados,Pão francês
Alimentação e bebidas,Alimentação no domicílio,Pescados,Camarão
Alimentação e bebidas,Alimentação no domicílio,Pescados,Caranguejo
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - acará
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - anchova
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - aruanã
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - badejo
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - cação
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - castanha
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - cavala
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - cavalinha
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - corvina
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - curimatã
Alimentação e bebidas,Alimentação no domicílio,Pescados,Peixe - dourada
